"Name";"Religion";"Caste";"Dob";"Gender";"Aadhar";"BloodGroup";"FatherName";"FatherOccupation";"FatherNumber";"MotherName";"MotherOccupation";"MotherNumber";"PermanentAddress";"TemporaryAddress";"PreviousSchoolName";"Percentage"
"Devansh A Sankar";"Hindu";"Mudiraju";"2001-03-13";"Male";"6512 9642 1920";"B (B+)";"Advaith ";"Freelancer";"123456789";"Drishti ";"Designer";"987654321";"Padil";"Padil";"Ramakrishna";"81"
"Gauri C Lalla";"Hindu";"Gahoi";"2001-07-15";"Female";"2782 6974 1374";"A (A+)";"Chetan";"Technician";"123456789";"Adah ";"Housewife";"987654321";"KPT";"KPT";"St Aloysius";"74"
"Indrajit P Handa";"Hindu";"Ghirth";"2001-12-13";"Female";"2782 6974 1374";"O (O+)";"Pratap ";"Graphic Designer";"123456789";"Ishani";"Housewife";"987654321";"Urwa";"Urwa";"Govinda";"69"
"Manas I Nagarajan";"Hindu";"Joisar";"2000-06-19";"Female";"6499 2818 7302";"B (B+)";"Ishaan ";"Graphic Designer";"123456789";"Talika ";"Housewife";"987654321";"Carstreet";"Carstreet";"Besant";"56"
"Mayur K Karnad";"Hindu";"Godha";"2000-02-19";"Male";"3977 8800 0234";"O (O+)";"Ravindra";"Accountant";"123456789";"Kamala";"Housewife";"987654321";"Carstreet";"Carstreet";"St Aloysius";"86"
"Ravindra S Patla";"Hindu";"Maiya";"2001-08-30";"Male";"6512 9642 1920";"A (A+)";"Sandip";"Civil engineer";"123456789";"Khushi ";"Social worker";"987654321";"Padil";"Padil";"St Aloysius";"78"
"Ritu K Prasad";"Hindu";"Kansara";"2001-02-04";"Female";"2782 6974 1374";"O (O+)";"Kanta ";"Mechanical Engineer";"123456789";"Vasudha ";"Business analyst";"987654321";"Kotara";"Kotara";"Ramakrishna";"89"
"Sandhya N Iyengar";"Hindu";"Koshta";"2001-04-20";"Female";"6499 2818 7302";"O (O+)";"Neel ";"Accountant";"123456789";"Sonam ";"Paramedic";"987654321";"Statebank";"Statebank";"St Aloysius";"71"
"Shravan J Shetty";"Hindu";"Shetty";"2001-11-21";"Male";"6499 2818 7302";"O (O+)";"Vaneet";"Electrical Engineer";"123456789";"Shakti";"Housewife";"987654321";"Urwa";"Urwa";"Govinda";"82"
"Tanuj B Shriyan";"Hindu";"Devadiga";"2001-10-02";"Male";"2782 6974 1374";"B (B+)";"Aryan";"Site Manager";"123456789";"Kalini ";"Housewife";"987654321";"KPT";"KPT";"Canara";"77"
"Vasuda A Salvi";"Hindu";"Bandhmati";"2001-05-05";"Female";"6512 9642 1920";"B (B+)";"Aadesh ";"Mechanical Engineer";"123456789";"Trishna ";"Software Developer";"987654321";"Carstreet";"Carstreet";"Govinda";"59"
"Vipul A Kade";"Hindu";"Ahirwar";"2001-07-02";"Male";"3977 8800 0234";"A (A+)";"Akash ";"Business analyst";"123456789";"Saraswati ";"Housewife";"987654321";"Statebank";"Statebank";"St Aloysius";"90"
